Unnamed: 0,Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Displacement Category,Acceleration Category
700,Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,229000.0,Medium,Fast
451,Bentley,Continental GT,2021,4.0,626.0,664.0,3.3,220000.0,Medium,Fast
218,Mercedes-Benz,S63 AMG,2021,4.0,603.0,664.0,3.4,152500.0,Medium,Fast
923,Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.4,96000.0,Medium,Fast
181,Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,228000.0,Extra Large,Fast
388,Rolls-Royce,Wraith,2021,6.6,624.0,642.0,4.4,330000.0,Extra Large,Fast
853,Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88550.0,Medium,Medium
583,Ford,GT,2022,3.5,647.0,550.0,3.0,500000.0,Medium,Fast
659,Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,203825.0,Large,Fast
865,Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.8,275000.0,Medium,Fast
491,Porsche,718 Boxster,2021,2.0,300.0,280.0,4.9,62000.0,Small,Fast
637,Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,325000.0,Medium,Fast
108,Mercedes-Benz,SL 63 AMG,2021,4.0,603.0,664.0,3.5,155000.0,Medium,Fast
121,Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102100.0,Medium,Fast
880,Rolls-Royce,Ghost,2021,6.8,563.0,627.0,4.6,332500.0,Extra Large,Fast
237,Audi,RS5,2022,2.9,444.0,443.0,3.7,77250.0,Medium,Fast
878,Maserati,GranTurismo,2021,,550.0,590.0,2.8,200000.0,,Fast
910,Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150800.0,Large,Fast
95,Pagani,Huayra,2022,6.0,764.0,738.0,2.8,2800000.0,Large,Fast
7,Chevrolet,Corvette,2021,6.2,490.0,465.0,2.8,59900.0,Extra Large,Fast
92,Mazda,MX-5 Miata,2021,2.0,181.0,151.0,6.5,26830.0,Small,Medium
714,Porsche,Cayman,2022,2.0,300.0,280.0,4.9,68000.0,Small,Fast
485,Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,61500.0,Extra Large,Fast
703,Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,135000.0,Large,Fast
474,Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,2.9,180800.0,Medium,Fast
895,Nissan,370Z,2021,3.7,332.0,270.0,5.2,30000.0,Medium,Medium
781,Bentley,Continental GT,2022,6.0,626.0,664.0,3.3,225000.0,Large,Fast
152,BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595.0,Medium,Fast
28,Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517770.0,Extra Large,Fast
43,Mercedes-Benz,CLS63 AMG,2019,4.0,603.0,627.0,3.4,132000.0,Medium,Fast
42,BMW,i8,2020,,369.0,420.0,4.2,148500.0,,Fast
75,Audi,TT RS,2021,2.5,394.0,354.0,3.6,67600.0,Medium,Fast
187,Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,276550.0,Medium,Fast
812,BMW,M2 Competition,2022,3.0,405.0,406.0,4.2,58900.0,Medium,Fast
851,Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.1,51720.0,Large,Fast
67,Ford,GT,2021,3.5,660.0,550.0,3.0,500000.0,Medium,Fast
11,Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000.0,Extra Large,Fast
379,Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,2800000.0,Large,Fast
782,Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.4,3000000.0,Extra Large,Fast
200,Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62000.0,Extra Large,Fast
494,Audi,TT RS Coupe,2021,2.5,394.0,354.0,3.6,67600.0,Medium,Fast
452,Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,62000.0,Small,Fast
517,Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.2,308000.0,Large,Fast
547,Audi,RS 7 Sportback,2022,4.0,591.0,590.0,3.5,114000.0,Medium,Fast
546,Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,65000.0,Extra Large,Fast
198,Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516.0,3.7,77000.0,Medium,Fast
614,Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,228000.0,Extra Large,Fast
731,McLaren,570S,2021,3.8,562.0,443.0,3.1,200000.0,Medium,Fast
85,Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000.0,Extra Large,Fast
250,Ferrari,Portofino,2022,3.9,591.0,413.0,3.3,218750.0,Medium,Fast
608,Porsche,Taycan 4S,2021,,429.0,472.0,3.8,103800.0,,Fast
832,BMW,M4 Competition,2022,3.0,503.0,479.0,3.8,74700.0,Medium,Fast
920,Audi,RS5 Coupe,2022,2.9,444.0,443.0,3.5,76350.0,Medium,Fast
793,Mercedes-Benz,S63 AMG,2021,4.0,603.0,664.0,3.4,168000.0,Medium,Fast
620,Bentley,Continental GT,2021,4.0,626.0,664.0,3.3,202500.0,Medium,Fast
81,Porsche,718 Cayman,2022,2.0,300.0,280.0,4.5,61000.0,Small,Fast
23,Mercedes-AMG,SLS AMG,2021,6.2,622.0,468.0,3.5,248000.0,Extra Large,Fast
15,Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,Large,Fast
784,Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,63700.0,Small,Medium
959,Audi,RS7 Sportback,2022,4.0,591.0,590.0,3.5,114000.0,Medium,Fast
431,Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,51000.0,Large,Fast
285,Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,61600.0,Small,Medium
690,Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,517000.0,Extra Large,Fast
334,Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.3,330000.0,Extra Large,Fast
401,Tesla,Model S Plaid,2021,,1020.0,1050.0,1.9,141190.0,,Fast
357,Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,218400.0,Large,Fast
419,Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93050.0,Large,Fast
149,Ferrari,Roma,2021,3.9,612.0,561.0,3.3,222620.0,Medium,Fast
446,Mercedes-Benz,SLC 43,2020,3.0,385.0,384.0,4.6,62000.0,Medium,Fast
387,Rimac,C_Two,2022,4.0,1888.0,1696.0,1.8,2400000.0,Medium,Fast
307,Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.8,276550.0,Medium,Fast
442,Ferrari,Portofino,2021,3.9,591.0,413.0,3.5,215000.0,Medium,Fast
9,Nissan,GT-R Nismo,2021,3.8,600.0,481.0,2.5,212000.0,Medium,Fast
287,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450.0,Medium,Fast
22,McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,Medium,Fast
255,Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,40590.0,Extra Large,Fast
987,Lotus,Evija,2022,,1973.0,1254.0,2.5,2000000.0,,Fast
982,Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,147000.0,Medium,Fast
425,Ferrari,Portofino,2021,3.9,591.0,560.0,3.3,218750.0,Medium,Fast
916,Tesla,Roadster,2022,4.0,,590.0,1.9,200000.0,Medium,Fast
232,Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200.0,Large,Fast
511,Tesla,Model S Plaid,2021,,1020.0,1050.0,1.9,141990.0,,Fast
96,Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,100550.0,Medium,Fast
367,BMW,M4,2021,3.0,473.0,406.0,4.1,71800.0,Medium,Fast
324,Acura,NSX,2021,3.5,573.0,476.0,2.7,159495.0,Medium,Fast
521,Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,63100.0,Medium,Fast
207,Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,274280.0,Medium,Fast
775,BMW,Z4 Roadster,2022,2.0,255.0,295.0,5.2,50000.0,Small,Medium
363,Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,101200.0,Medium,Fast
169,Rolls-Royce,Wraith,2021,6.6,624.0,605.0,4.3,330000.0,Extra Large,Fast
77,Chevrolet,Corvette Stingray,2021,6.2,490.0,465.0,2.8,59900.0,Extra Large,Fast
423,Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102500.0,Medium,Fast
320,Tesla,Model S Plaid,2021,,1020.0,1050.0,1.9,131100.0,,Fast
69,Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,417826.0,Extra Large,Fast
484,Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,64000.0,Extra Large,Fast
213,Lamborghini,Aventador S,2021,6.5,729.0,509.0,2.9,417650.0,Extra Large,Fast
314,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,96950.0,Medium,Fast
273,Mercedes-Benz,SLS AMG Black Series,2014,6.2,622.0,468.0,3.5,275000.0,Extra Large,Fast
91,Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,134300.0,Large,Fast
820,Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62500.0,Small,Medium
124,Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,220300.0,Large,Fast
133,Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222004.0,Medium,Fast
789,Porsche,Panamera Turbo S E-Hybrid,2021,4.0,689.0,642.0,3.0,190000.0,Medium,Fast
333,Porsche,718 Cayman,2021,2.0,300.0,280.0,4.9,59900.0,Small,Fast
275,Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,3000000.0,Large,Fast
0,Porsche,911,2022,3.0,379.0,331.0,4.0,101200.0,Medium,Fast
994,McLaren,GT,2022,4.0,612.0,465.0,3.1,210000.0,Medium,Fast
888,Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,62750.0,Medium,Fast
763,Lamborghini,Urus,2021,4.0,641.0,627.0,3.5,218000.0,Medium,Fast
505,Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,150980.0,Large,Fast
321,Aston Martin,DB11,2021,4.0,503.0,513.0,4.0,201495.0,Medium,Fast
123,Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,304995.0,Large,Fast
263,Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,62290.0,Extra Large,Fast
764,Ferrari,Portofino M,2021,3.9,612.0,561.0,3.4,235000.0,Medium,Fast
408,Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417650.0,Extra Large,Fast
317,Nissan,370Z,2021,3.7,332.0,270.0,5.0,30000.0,Medium,Medium
589,Porsche,Boxster,2021,2.0,300.0,280.0,4.9,62000.0,Small,Fast
157,Bentley,Continental GT,2021,6.0,626.0,664.0,3.4,220300.0,Large,Fast
587,Mercedes-Benz,SLS AMG,2015,6.2,583.0,479.0,3.6,221580.0,Extra Large,Fast
477,Lotus,Evora,2021,3.5,416.0,317.0,3.8,94000.0,Medium,Fast
886,Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,25000.0,Extra Large,Fast
680,Mercedes-Benz,GT 63,2021,4.0,577.0,590.0,3.3,161200.0,Medium,Fast
310,Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.2,275000.0,Extra Large,Fast
856,Audi,RS6,2022,4.0,591.0,590.0,3.5,120000.0,Medium,Fast
358,Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707.0,3.5,73000.0,Extra Large,Fast
362,Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,132400.0,Large,Fast
47,Audi,RS3,2022,2.5,394.0,369.0,3.9,56200.0,Medium,Fast
303,Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.3,2998000.0,Extra Large,Fast
223,Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218009.0,Medium,Fast
1006,Rimac,Nevera,2021,,1888.0,1696.0,1.85,2400000.0,,Fast
811,McLaren,570S Spider,2020,3.8,562.0,443.0,3.1,208800.0,Medium,Fast
111,Nissan,370Z,2021,3.7,332.0,270.0,4.7,31015.0,Medium,Fast
831,Audi,RS 7 Sportback,2021,4.0,591.0,590.0,3.5,114000.0,Medium,Fast
702,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100000.0,Medium,Fast
961,Mercedes-AMG,C63 S,2022,4.0,503.0,516.0,3.7,78100.0,Medium,Fast
103,Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,522000.0,Extra Large,Fast
514,Ultima,RS,2021,6.2,1200.0,1300.0,2.3,220000.0,Extra Large,Fast
876,Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92000.0,Large,Fast
850,Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,43995.0,Extra Large,Fast
424,Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417650.0,Extra Large,Fast
201,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.5,76000.0,Extra Large,Fast
354,Tesla,Roadster,2022,,,,1.9,200000.0,,Fast
838,Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.2,329100.0,Large,Fast
950,Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,393695.0,Extra Large,Fast
165,McLaren,570S,2020,3.8,562.0,443.0,3.1,204550.0,Medium,Fast
132,Porsche,Panamera Turbo S,2022,4.0,620.0,604.0,2.9,187700.0,Medium,Fast
755,Audi,RS6 Avant,2021,4.0,591.0,590.0,3.5,109000.0,Medium,Fast
843,Porsche,Taycan,2022,,469.0,263.0,3.8,81250.0,,Fast
208,Audi,RS 7,2021,4.0,591.0,590.0,3.5,114000.0,Medium,Fast
905,Ferrari,F8 Spider,2022,3.9,710.0,568.0,2.9,274390.0,Medium,Fast
579,Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,218400.0,Large,Fast
989,Maserati,MC20,2021,3.0,621.0,538.0,2.9,210000.0,Medium,Fast
438,Lamborghini,Sián,2021,6.5,819.0,531.0,2.8,3600000.0,Extra Large,Fast
375,Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,202500.0,Large,Fast
907,Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,517770.0,Extra Large,Fast
155,Acura,NSX,2021,3.5,573.0,476.0,2.7,157500.0,Medium,Fast
153,Mercedes-Benz,AMG C63,2021,4.0,503.0,516.0,3.8,77500.0,Medium,Fast
836,Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,2.9,181100.0,Medium,Fast
374,Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,221400.0,Large,Fast
19,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,78000.0,Medium,Fast
193,Porsche,Taycan,2022,2.0,402.0,254.0,5.1,81250.0,Small,Medium
780,Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,142086.0,Medium,Fast
364,Tesla,Roadster,2023,,,737.0,,200000.0,,Unknown
915,Subaru,WRX STI,2021,2.5,310.0,290.0,5.2,38170.0,Medium,Medium
12,Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,61000.0,Extra Large,Fast
356,Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,150000.0,Medium,Fast
25,Polestar,1,2021,2.0,600.0,738.0,4.1,155000.0,Small,Fast
699,Aston Martin,DB11,2021,4.0,503.0,513.0,3.9,205000.0,Medium,Fast
189,McLaren,570S,2021,3.8,562.0,443.0,3.1,191000.0,Medium,Fast
902,Audi,RS 5,2022,2.9,444.0,443.0,3.5,75100.0,Medium,Fast
516,Acura,NSX,2021,3.5,573.0,476.0,2.9,157500.0,Medium,Fast
283,Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,219800.0,Medium,Fast
346,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104200.0,Medium,Fast
796,Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.7,46000.0,Medium,Fast
315,Maserati,GranTurismo,2022,4.7,454.0,384.0,4.8,134300.0,Large,Fast
170,Shelby,Cobra,1965,7.0,435.0,440.0,4.2,1000000.0,Extra Large,Fast
134,Mercedes-Benz,AMG C63,2021,4.0,469.0,479.0,3.8,71350.0,Medium,Fast
635,Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,517770.0,Extra Large,Fast
407,Porsche,Taycan 4S,2022,2.5,482.0,472.0,3.8,102900.0,Medium,Fast
331,McLaren,GT,2022,4.0,612.0,465.0,3.1,215500.0,Medium,Fast
120,BMW,M2,2022,3.0,405.0,406.0,4.2,59000.0,Medium,Fast
526,Rimac,C_Two,2022,,1914.0,1696.0,1.9,2400000.0,,Fast
194,Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517700.0,Extra Large,Fast
650,BMW,M2,2022,3.0,405.0,406.0,4.1,58900.0,Medium,Fast
470,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,80500.0,Medium,Fast
58,Ferrari,Roma,2021,3.9,612.0,560.0,3.4,222000.0,Medium,Fast
590,Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500.0,Small,Fast
256,Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,52720.0,Large,Fast
323,Lotus,Evora,2021,3.5,416.0,317.0,3.8,96950.0,Medium,Fast
17,Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,150000.0,Large,Fast
520,Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000.0,Extra Large,Fast
377,Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64100.0,Extra Large,Fast
297,Mercedes-Benz,SLS AMG,2021,4.0,577.0,516.0,3.6,247500.0,Medium,Fast
540,Tesla,Model S Plaid,2022,,1020.0,1050.0,1.98,139990.0,,Fast
946,Porsche,Panamera GTS,2021,4.0,473.0,457.0,3.9,134150.0,Medium,Fast
216,McLaren,600LT,2021,3.8,592.0,457.0,2.9,256500.0,Medium,Fast
990,Porsche,Cayman,2021,2.0,300.0,280.0,5.1,59900.0,Small,Medium
859,Mercedes-Benz,AMG A45,2021,2.0,382.0,354.0,4.0,50000.0,Small,Fast
471,Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,105900.0,Large,Fast
97,Rimac,Nevera,2022,,1914.0,1696.0,1.95,2400000.0,,Fast
202,Ford,GT,2022,3.5,660.0,550.0,2.9,500000.0,Medium,Fast
349,Mercedes-Benz,AMG C63,2022,4.0,503.0,516.0,3.8,69900.0,Medium,Fast
564,Nissan,370Z Nismo,2020,3.7,350.0,276.0,5.0,46815.0,Medium,Medium
688,Porsche,918 Spyder,2015,4.6,887.0,944.0,2.2,1800000.0,Large,Fast
611,Audi,RS 7,2022,4.0,591.0,590.0,3.5,117000.0,Medium,Fast
603,Porsche,Panamera,2022,2.9,325.0,331.0,5.2,88550.0,Medium,Medium
858,BMW,M4,2022,3.0,503.0,479.0,3.8,74000.0,Medium,Fast
670,Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.5,243600.0,Extra Large,Fast
5,BMW,M8,2022,4.4,617.0,553.0,3.1,130000.0,Large,Fast
983,Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.5,3900000.0,Extra Large,Fast
45,Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,518000.0,Extra Large,Fast
663,Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,45000.0,Large,Fast
707,Dodge,Challenger,2022,3.6,305.0,268.0,6.4,28000.0,Medium,Medium
191,Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.9,69900.0,Medium,Fast
16,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104450.0,Medium,Fast
49,BMW,M4,2022,3.0,503.0,479.0,3.8,71800.0,Medium,Fast
954,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100500.0,Medium,Fast
899,Porsche,Cayman,2022,2.0,300.0,280.0,4.5,59900.0,Small,Fast
3,Audi,R8,2022,5.2,562.0,406.0,3.2,142700.0,Large,Fast
885,Tesla,Roadster,2022,0.0,,,1.9,200000.0,,Fast
531,Ford,GT,2021,3.5,647.0,550.0,3.0,500000.0,Medium,Fast
370,Ferrari,Portofino,2021,3.9,591.0,560.0,3.5,218750.0,Medium,Fast
998,Ford,Mustang,2021,2.3,310.0,350.0,5.3,27205.0,Medium,Medium
326,Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,202500.0,Large,Fast
99,Tesla,Roadster,2022,,,737.0,1.9,200000.0,,Fast
328,Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,3000000.0,Large,Fast
698,Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,330000.0,Medium,Fast
259,Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,222004.0,Medium,Fast
26,Rimac,Nevera,2022,,1914.0,1696.0,1.85,2400000.0,,Fast
790,Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517000.0,Extra Large,Fast
305,Porsche,Taycan Turbo S,2021,,750.0,774.0,2.6,185000.0,,Fast
51,Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,42500.0,Extra Large,Fast
435,Koenigsegg,Jesko,2021,5.0,1262.0,1106.0,2.5,3000000.0,Large,Fast
264,Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,304995.0,Large,Fast
37,Porsche,Taycan 4S,2022,,562.0,479.0,3.8,104000.0,,Fast
173,TVR,Griffith,2022,5.0,500.0,479.0,3.8,123500.0,Large,Fast
274,Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,2998000.0,Extra Large,Fast
948,BMW,M4,2021,3.0,473.0,406.0,3.8,71800.0,Medium,Fast
445,BMW,Z4 M40i,2022,3.0,382.0,369.0,4.3,63700.0,Medium,Fast
441,Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,393695.0,Extra Large,Fast
196,Audi,RS 6 Avant,2021,4.0,591.0,590.0,3.5,109000.0,Medium,Fast
821,Tesla,Roadster,2022,,1000.0,737.0,1.9,200000.0,,Fast
721,McLaren,GT,2022,4.0,620.0,465.0,3.1,208000.0,Medium,Fast
691,Audi,RS 6 Avant,2021,4.0,591.0,590.0,3.5,110000.0,Medium,Fast
222,Porsche,Taycan Turbo S,2021,4.0,750.0,774.0,2.6,185000.0,Medium,Fast
824,Rimac,Nevera,2021,,1914.0,1696.0,1.85,2400000.0,,Fast
837,Lamborghini,Aventador S,2021,6.5,730.0,507.0,2.9,417826.0,Extra Large,Fast
557,Audi,RS 6 Avant,2022,4.0,591.0,590.0,3.1,110045.0,Medium,Fast
638,Nissan,400Z,2023,3.0,400.0,350.0,4.0,40000.0,Medium,Fast
640,Rimac,Nevera,2021,,1914.0,1696.0,1.9,2400000.0,,Fast
953,Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.4,321000.0,Large,Fast
802,Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64000.0,Extra Large,Fast
833,Mercedes-Benz,C63 S AMG,2022,4.0,503.0,516.0,3.9,77600.0,Medium,Fast
68,Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62750.0,Small,Medium
588,Nissan,370Z Nismo,2020,3.7,350.0,276.0,4.7,47190.0,Medium,Fast
188,Audi,RS 3,2022,2.5,401.0,354.0,3.5,56000.0,Medium,Fast
